"","vector_company"
"165","Electric Operating Revenues $5,662"
"166","Number of Electric Customers. ... . 210"
"167","Energy Purchased 298,000"
"168","• •.nimuniiy Served at Retail: Population"
"169","01-532"
"170","*CuIIman Light and Water Plant"
"171","Electric Utility Plant $422,223"
"172","Electric Operating Revenues. '$132,715"
"173","01-540"
"174","*City of Decatur Electric Depart"
"175","Electric Utility Plant.. $550,431"
"176","Electric Operating Revenues $295,868"
"177","Energy Purchased 28, 158,508"
"178","Communities Served at Retail: Population"
"179","01-543"
"180","*Dothan Water & Electric"
"181","Electric Operating Revenues $292,995"
"182","Generating Capacity (Steam)— --- 2,350"
"183","KUowaU-liouri"
"184","Energy Purchased 10,358,400"
"185","Community Served at Retail: Population"
"186","Energy Purchased 10,358,400"
"187","Community Served at Retail: Population"
"188","01-554"
"189","*Evergreen Electric System"
"190","Electric Operating Revenues $32,400"
"191","Number of Electric Customers 523"
"192","1,080,000Energy Purchased.. ."
"193","Community Served at Retail:"
"194","01-565"
"195","*Town of Fairhope"
"196","Number of Electric Customers 614"
"197","Generating Capacity:"
"198","Kilownttl"
"199","Internal Combustion 640"
"200","Kilowatt-hours"
"201","01-570"
"202","*City of Florence, Electricity"
"203","Electric Utility Plant $472,975"
"204","Electric Operating Revenues $210,288"
"205","Number of Electric Customers _. 2,980"
"206","Energy Purchased 14,529,333"
"207","Community Served at Retail: Population"
"208","01-572"
"209","*Improvement Authority, City of"
"210","Electric Utility Plant- $140,262"
"211","Electric Operating Revenues $31,689"
"212","Number of Electric Customers 1,284"
"213","Energy Purchased 1,981,200"
"214","' 'ommunity Served al Retail: Population"
"215","01-574"
"216","*Guntersville Municipal"
"217","Electric Utility Plant - $141,583"
"218","Electric Operating Revenues $75,392"
"219","Number of Electric Customers 1,019"
"220","Energy Purchased. 7,570,100"
"221","Community Served at Retail: Population"
"222","01-576"
"223","""Hartford Water & Light Plant"
"224","Electric Utility Plant $100,000"
"225","Electric Operating Revenues $17,411"
"226","Number of Electric Customers 370"
"227","Energy Purchased 591,080"
"228","Community Served at Retail: Population"
"229","01-578"
"230","*City of Hartselle •"
"231","Electric Utility Plant $77,747"
"232","Electric Operating Revenues $28,226"
"233","Number of Electric Customers 789"
"234","Energy Purchased. 1,597,800"
"235","Community Served at Retail: Population"
"236","01-582"
"237","*City of Huntsville """
"238","Electric Utility Plant $1,621,358"
"239","Electric Operating Revenues $284,976"
"240","Number of Electric Customers 6, 142"
"241","Energy Purchased 30,671,620"
"242","Communities Served at Retail: Population"
"243","01-587"
"244","""Lafayette Light and Water Plant"
"245","Electric Operating Revenues $23,316"
"246","Number of Electric Customers 415"
"247","Energy Purchased 1,159,280"
"248","Community Served at Retail: Population"
"249","01-598"
"250","*City of Lanett"
"251","Electric Utility Plant $80,000"
"252","Electric Operating Revenues $32,275"
"253","Number of Electric Customers 850"
"254","Energy Purchased 961,600"
"255","Community Served at Retail: Population"
"256","01-609"
"257","""Town of Luverne"
"258","01-620"
"259","*Town of Muscle Shoals a"
"260","Electric Utility Plant.... $31,850"
"261","Electric Operating Revenues $8,798"
"262","Number of Electric Customers 180"
"263","01-631"
"264","*Opelika Light and Water"
"265","Electric Utility Plant.. $185,228"
"266","Electric Operating Revenues $86,780"
"267","Number of Electric Customers 1,361"
"268","Energy Purchased 4,270,900"
"269","Community Served at Retail: Population"
"270","01-642"
"271","•""City of Piedmont"
"272","Electric Utility Plant $32,492"
"273","Electric Operating Revenues $30,048"
"274","Number of Electric Customers 914"
"275","Energy Purchased 1,238,400-"
"276","Community Served at Retail: Population"
"277","01-646"
"278","*City of Russellville *"
"279","Electric Utility Plant $137,307"
"280","Electric Operating Revenues $33,073"
"281","Number of Electric Customers 718-"
"282","Energy Purchased 1.862,700-"
"283","Community Served at Retail: Population"
"284","01-648"
"285","*Scottsboro Electric Department *"
"286","Electric Utility Plant... $159,579-"
"287","Electric Operating Revenues -- $53.398"
"288","Number of Electric Customers 986"
"289","Energy Purchased 3,468,500"
"290","Community Served at Retail: Population"
"291","01-650"
"292","'Sheffield City Power & Water"
"293","Electric Utility Plant .............. .. $333,354"
"294","Electric Operating Revenues ............ ... $114.117"
"295","Number of Electric Customers ........ _____ 1,642"
"296","Energy Purchased ........................ 7,417,220"
"297","Communities Served at Retail: Population"
"298","01-653"
"299","*Sylacauga Electric Department"
"300","Electric Utility Plant"
"301","Electric Operating Revenues"
"302","Number of Electric Customers.."
"303","Energy Purchased"
"304","Community Served at Retail:"
"305","01-655"
"306","""Tennessee Valley Authority"
"307","Number of Electric Customers:"
"308","01-660"
"309","*City of Tarrant City, Electric"
"310","Electric Utility Plant. $332,420"
"311","Electric Operating Revenues $42,201"
"312","Number of Electric Customers -- 1,375"
"313","Energy Purchased 2.236,277"
"314","Community Served at Retail: Population"
"315","01-664"
"316","*City of Troy Electric Department"
"317","Electric Utility Plant $100,000"
"318","Electric Operating Revenues.- • $38,518"
"319","Number of Electric Customers 1,384"
"320","Energy Purchased _"
"321","Community Served at Retail:"
"322","01-668"
"323","*City of Tuscumbia Electricity"
"324","Electric Utility Plant.... $144,911"
"325","Electric Operating Revenues $63,537"
"326","Number of Electric Customers 1,191"
"327","Energy Purchased 4,091,205"
"328","Community Serred at Retail : Population"
"329","01-670"
"330","*City of Tuskegee"
"331","Power Co. (01-164)."
"332",NA
"333","01-800"
"334","*Alabama Electric Cooperative"
"335","01-802"
"336","'""Baldwin County Electric Mem"
"337","Electric Utility Plant $260,121"
"338","Electric Operating Revenues. $39,484"
"339","Number of Electric Customers.. 955"
"340","Energy Purchased 782,640"
"341",NA
"342","01-804"
"343","*Black Warrior Electric Member"
"344","Electric Utility Plant $358,046"
"345","Electric Operating Revenues $25,014"
"346","Number of Electric Customers 881"
"347","Energy Purchased 233,520"
"348",NA
"349","01-808"
"350","""'Central Alabama Electric Coop"
"351","Electric Utility Plant $351,176"
"352","Electric Operating Revenues $27,178"
"353","Number of Electric Customers 912"
"354","Energy Purchased 210,300"
"355",NA
"356","01-810"
"357","""""Cherokee County Electric Mem"
"358","01-815"
"359","""Clarke- Washington Electric"
"360","Electric Utility Plant $164,245"
"361","Electric Operating Revenues"
"362","Number of Electric Customers—"
"363","Energy Purchased 316,788"
"364","Communities Served at Retail: Population"
"365","01-820"
"366","*Coosa Valley Electric Coopera"
"367","Number of Electric Customers 464"
"368","01-824"
"369","*Cullman Electric Cooperative"""
"370","01-830"
"371","*Dixie Electric Cooperative"
"372","Number of Electric Customers 896"
"373","Energy Purchased.... 724,290"
"374",NA
"375","01-858"
"376","*North Alabama Electric"
"377","Number of Electric Customers 1,112"
"378","Energy Purchased 1,846.135"
"379","Communities Served at Retail: Population"
"380","01-865"
"381","*Pea River Electric Cooperative"
"382","Electric Utility Plant $360,000"
"383","Electric Operating Revenues $26,390"
"384","Number of Electric Customers 945"
"385","Energy Purchased 378,330"
"386",NA
"387","01-867"
"388","*Pioneer Electric Cooperative, Inc."
"389","Electric Utility Plant .._ $342,943"
"390","Electric Operating Revenues $31,598"
"391","Number of Electric Customers. 1,161"
"392","Energy Purchased 537,680"
"393","Community Served at Retail:"
"394","01-870"
"395","'Sand Mountain Electric Coop"
"396","Electric Utility Plant $163,273"
"397","Electric Operating Revenues $26,846"
"398","Number of Electric Customers. 1,895"
"399","Energy Purchased.. 1,070,157"
"400","Communities Served at Retail:"
"401","01-875"
"402","*South Alabama Electric"
"403","Electric Utility Plant... $660,195"
"404","Electric Operating Revenues $73, 199"
"405","Number of Electric Customers 2, 252"
"406","Energy Purchased"
"407","Community Served at Retail:"
"408","01-878"
"409","'""Southern Pine Electric Member"
"410","Electric Utility Plant $222,887"
"411","Electric Operating Revenues $16,499"
"412","Number of Electric Customers 480"
"413","Energy Purchased . 236,040"
"414",NA
"415","01-882"
"416","*Tallapoosa River Electric Coop"
"417","Electric Utility Plant $269,624"
"418","Electric Operating Revenues $16,164"
"419","Number of Electric Customers 620"
"420","Energy Purchased 187.404"
"421",NA
"422","01-885"
"423","*JoeWheeler Electric Membership"
"424","Electric Utility Plant $432,077"
"425","Electric Operating Revenues $'.9,436"
"426","Number of Electric Customers 1,980"
"427","Energy Purchased 3,109,520"
"428","Communities Served at RetaU: Population"
