"","name_text6","state_text6","last_digit_text6"
"177","West Memphis Power & Water Company","Arkansas","31"
"178","*Woodruff Electric Cooperative Corporation","Arkansas","36"
"179","Public Utilities","California","50"
"180","American Potash & Chemical Corporation","California","48"
"181","*Anaheim Light and Water Department","California","50"
"182","Arrowhead Lake Corporation","California","48"
"183","*Avalon-Utility Department, City of","California","50"
"184","*Azusa Light, Power and Water Department","California","50"
"185","*Banning Electrical Department","California","50"
"186","Bay Point Light & Power Co","California","37"
"187","*Biggs Municipal Utilities","California","51"
"188","Brown Electric Plant, Alex","California","37"
"189","*Burbank Public Service Department","California","51"
"190","California Liquidating Company","California","48"
"191","California Oregon Power Company, The","California","38"
"192","California-Pacific Utilities Company","California","38"
"193","California Public Service Company","California","38"
"194","Central Mendocino County Power Company","California","39"
"195","Coast Counties Gas and Electric Company","California","39"
"196","*Colton, City of","California","51"
"197","Coos Bay Lumber Company C","California","48"
"198","•East Bay Municipal Utility District","California","51"
"199","East, Charles L","California","39"
"200","*Escondido Mutual Water Company C","California","56"
"201","Fon tuna Power Company","California","39"
"202","'Glendsle Public Service Department C","California","51"
"203","*Gridley Municipal Utilities","California","51"
"204","Hammond Redwood Company","California","48"
"205","*Healdsburg Municipal Light and Water Plant","California","52"
"206","HercHles Powder Company","California","48"
"207","Hobbs Wall Company -","California","48"
"208","*Imperial Irrigation District","California","52"
"209","Imperial Valley Electric Power Co","California","39"
"210","Indian Valley Light & Power Co","California","40"
"211","Irvine Company, The","California","48"
"212","Klamath Water, Light* Power Co","California","40"
"213","*Lodi, City of","California","52"
"214","*Lompoc Light and Water Department","California","52"
"215","Bureau of Power and Light, City of","California","52"
"216","Lucerne Water, Light, and Power Company","California","40"
"217","McCloud River Lumber Company, The","California","48"
"218","*Merced Irrigation District","California","53"
"219","fornia, The","California","53"
"220","*Modesto Irrigation District","California","53"
"221","Moore Corporation, Walton N","California","40"
"222","*Mouutain Empire Electric Cooperative, Inc","California","56"
"223","Northern Light & Power Co","California","41"
"224","Oaks Light & Power Co","California","41"
"225","Los Angeles","California","53"
"226","Pacific Electric Railway Company","California","49"
"227","Pacific Gas and Electric Company","California","41"
"228","Pacific Lumber Company, The","California","49"
"229","*Palo Alto, Citv of","California","54"
"230","Partington, J. F","California","44"
"231","ment","California","54"
"232","Pickering Lumber Corporation","California","49"
"233","Pinole Light & Power Company","California","44"
"234","*Plumas-Sierra Rural Electric Cooperative","California","56"
"235","Point Arena Electric Light & Power Co","California","44"
"236","Public Utilities California Corporation","California","44"
"237","*Redding Electrical Department, The City of C","California","54"
"238","Red River Lumber Co., The C","California","49"
"239","•Riverside, Electric Light Department, City of C","California","54"
"240","*Roseville, City of","California","54"
"241","Sacramento River Farms, Ltd","California","49"
"242","San Diego Gas & Electric Company","California","45"
"243","gineering Bureau, City and County of","California","55"
"244","San Gorgonio Electric Corporation","California","45"
"245","Santa Catalina Island Company","California","49"
"246","*Santa Clara Light and Power Plant","California","55"
"247","Sierra City Electric Light Plant","California","45"
"248","Sierra Pacific Power Company","California","45"
"249","Southern California Edison Company, Ltd","California","45"
"250","Southern California Water Company","California","47"
"251","•Surprise Valley Electrification Corporation","California","56"
"252","*Truckee Public Utility District","California","55"
"253","*Turlock Irrigation District","California","55"
"254","Turn Back Creek Light & Power Co","California","47"
"255","*Ukiah, City of","California","55"
"256","Union Lumber Company","California","49"
"257","Union Pacific Railroad Company","California","50"
"258","Rose Operating as","California","49"
"259","Vallejo Electric Light and Power Company","California","47"
"260","Washington Light & Water Co","California","48"
"261","Weyerhaeuser Timber Company","California","50"
"262","*Yosemite National Park Electric System","California","53"
"263","Arvada Electric Company, The","Colorado","57"
"264","Baldon & Sons, C. H","Colorado","57"
"265","•Bonanza Electric Light System","Colorado","64"
"266","System","Colorado","64"
"267","Calumet Fuel Company, The","Colorado","64"
"268","&","Colorado","57"
"269","Colorado Central Power Company","Colorado","58"
"270","Colorado Fuel and Iron Corporation, The","Colorado","64"
"271","Colorado Portland Cement Co","Colorado","64"
"272","of","Colorado","64"
"273","Colorado Utilities Corporation","Colorado","58"
"274","Commonwealth Utilities Corporation","Colorado","58"
"275","City of","Colorado","64"
"276","*Crested Butte Lightand Water Department","Colorado","64"
"277","*Crook Municipal Plant, Town of","Colorado","65"
"278","""Dacono, Town of","Colorado","65"
"279","•Delta, City of","Colorado","65"
"280","•Delta-Montrose Rural Power Lines Association...","Colorado","69"
"281","du Pont de Nemours & Co., E. I","Colorado","64"
"282","Eagle River Electric Co","Colorado","58"
"283","*Eckley, Town of","Colorado","65"
"284","*Empire Electric Association, Inc C","Colorado","69"
"285","*Erie Municipal Lighting System C","Colorado","65"
"286","Evergreen Public Service Co C","Colorado","58"
"287","*Flagler Municipal Power Plant","Colorado","65"
"288","•Fleming Municipal Plant","Colorado","65"
"289","•Fort Collins Light and Power Department","Colorado","66"
"290","*Fort Morgan, The City of","Colorado","66"
"291","*Fountain Light Department","Colorado","66"
"292","*Frederick Municipal Electric Department","Colorado","66"
"293","Glenwood Light and Water Co., The C","Colorado","59"
"294","*Granada Light, Power & Water Plant","Colorado","66"
"295","Grand County Light, Heat & Power Co","Colorado","59"
"296","Grand Lake Light Company","Colorado","59"
"297","*Grand Valley Rural Power Lines, Inc","Colorado","69"
"298","*Gunnison, Town of","Colorado","66"
"299","*Haswell Light Plant","Colorado","67"
"300","*Haxtun Light & Power Department","Colorado","67"
"301","Highland Utilities Company","Colorado","59"
"302","*Highline Electric Association","Colorado","69"
"303","""Holyoke Municipal Power Plant","Colorado","67"
"304","Home Gas and Electric Company, The","Colorado","59"
"305","Inland Utilities Company, The","Colorado","60"
"306","*Intermountain Rural Electric Association","Colorado","69"
"307","Plant","Colorado","67"
"308","Kim Light and Power Company","Colorado","60"
"309","Kit Carson Light and Power Company","Colorado","60"
"310","Kremmling Light and Power Company","Colorado","60"
"311","*La Junta Municipal Utilities","Colorado","67"
"312","Lake Garage and Light Company","Colorado","60"
"313","*Lamar Light and Power Plant","Colorado","67"
"314","*La Plata Electric Association, Inc","Colorado","70"
"315","La Veta Light, Heat & Power Co","Colorado","60"
"316","""Longmont, City of","Colorado","67"
"317","*Loveland Electrical Department","Colorado","68"
"318","*Lyons Electric Department","Colorado","68"
"319","*Meeker, Town of","Colorado","68"
"320","•Morgan County Rural Electric Assn","Colorado","70"
"321","Mountain Utilities Corporation, The","Colorado","60"
"322","New Light & Power Co","Colorado","60"
"323","*Oak Creek Municipal Light System","Colorado","68"
"324","Orchard Power, Light, Water & Gas Co","Colorado","61"
"325","Pine River Power Co","Colorado","61"
"326","Plateau Valley Light & Power Co., The","Colorado","61"
"327","*Poudre Valley Rural Electric Association, Inc","Colorado","70"
"328","Public Service Company of Colorado","Colorado","61"
"329","•Redlands Water & Power Co C","Colorado","70"
"330","*San Isabel Electric Association, Inc","Colorado","70"
"331","*San Luis Valley Rural Electric Cooperative, Inc.","Colorado","70"
"332","San Miguel Light & Power Co","Colorado","62"
"333","*San Miguel Power Association, Inc","Colorado","70"
"334","Silverton Electric Light Co","Colorado","62"
"335","Southern Colorado Power Company","Colorado","62"
"336","Company, The","Colorado","63"
"337","*Union Rural Electric Association, Inc","Colorado","70"
"338","Thompson Project","Colorado","68"
"339","*U. S. Bureau of Reclamation, Kendrick Project-. C","Colorado","68"
"340","Utah Fuel Company","Colorado","64"
"341","Victor-American Fuel Co., The","Colorado","64"
"342","*Walden Municipal Light Plant","Colorado","69"
"343","Western Colorado Power Company, The","Colorado","63"
"344","Western Public Service Company, The","Colorado","63"
"345","*Wray, Town of","Colorado","69"
"346","*Yuma, Town of","Colorado","69"
"347","Aspinook Corporation","Connecticut","76"
"348","Belding Hemingway Co","Connecticut","76"
"349","Bloom Co., Edward","Connecticut","76"
"350","Bozrah Electric Co., The","Connecticut","71"
"351","Brownell & Co., Inc","Connecticut","76"
"352","Clinton Electric Light & Power Company, The","Connecticut","71"
"353","Collins Company, The","Connecticut","76"
"354","Connecticut Light and Power Company, The C","Connecticut","71"
"355","Connecticut Power Company, The C","Connecticut","73"
"356","Danbury & Bethel Gas & Electric Light Co. , The","Connecticut","73"
"357","Derby Gas and Electric Company, The","Connecticut","74"
"358","Ensign-Bickford Co., The C","Connecticut","76"
"359","Farmington River Power Company, The","Connecticut","74"
"360","of","Connecticut","77"
"361","Hartford Electric Light Company, The","Connecticut","74"
"362","*Jewett City Electric Light Plant","Connecticut","77"
"363","The","Connecticut","75"
"364","Montgomery Company, The","Connecticut","76"
"365","Mystic Power Company, The","Connecticut","75"
"366","*Norwalk, Third Taxing District of the City of","Connecticut","77"
"367","'Norwich Gas and Electrical Department, City of. .","Connecticut","77"
"368","Ponemah Mills","Connecticut","76"
"369","Powdrell & Alexander, Inc","Connecticut","77"
"370","Putnam Mills, Israel","Connecticut","77"
"371","Putnam Woolen Corporation","Connecticut","77"
"372","Simsbury Electric Company, The","Connecticut","75"
"373","*South Norwalk Electric Works, The","Connecticut","78"
"374","Torrington Electric Light Company, The","Connecticut","75"
"375","United Illuminating Company, The","Connecticut","75"
"376","*Wallingford Borough Electric Works","Connecticut","78"
"377","Wauregan-Quinebaugh Mills, Inc","Connecticut","77"
"378","*Clayton Municipal Light & Power Plant","Delaware","80"
"379","Delaware Power A Light Company","Delaware","79"
"380","•Delaware Rural Electric Association, The","Delaware","81"
"381","*Dover Light & Water Department, City of","Delaware","80"
"382","Eastern Shore Public Service Company","Delaware","79"
"383","*Lewes Board of Public Works ._","Delaware","80"
"384","Lincoln & Ellendale Electric Co","Delaware","80"
"385","*M iddletown Light and Water Department","Delaware","80"
"386","•Milford, City of","Delaware","81"
"387","*Newark, Council of","Delaware","81"
"388","sioners","Delaware","81"
"389","*Seaford Light & Power Co., City of","Delaware","81"
"390","*Smyrna, Town of","Delaware","81"
"391","Potomac Electric Power Company","District of Columbia.,-","83"
"392","•Alachua, City of.","Florida","91"
"393","*Bartow, City of","Florida","91"
"394","*Blountstown, City of","Florida","91"
"395","Boca Grande Light & Power Co","Florida","85"
"396","Brooks-Scanlon Corporation","Florida","90"
"397","pany","Florida","91"
"398","•Central Florida Electric Cooperative, Inc","Florida","96"
"399","*Choctawhatchee Cooperative, Inc","Florida","96"
"400","•Clay Electric Cooperative Association, Inc","Florida","96"
"401","Empire Service Co F","Florida","85"
"402","*Escambia River Electric Cooperative, Inc F","Florida","96"
"403","Everglades Railway Light & Power Co F","Florida","85"
"404","Florida Power & Light Company","Florida","86"
"405","Florida Power Corporation","Florida","87"
"406","Florida Public Service Company","Florida","88"
"407","Florida Public Utilities Company","Florida","88"
"408","*Fort Meade Electric Department","Florida","91"
"409","*FortPierce, City of","Florida","92"
"410","Plant","Florida","92"
"411","Glades Power and Light Company F","Florida","89"
"412","*Green Cove Springs Electric Plant","Florida","92"
"413","Gulf Power Company","Florida","89"
"414","*Homestead Power and Light Plant","Florida","92"
"415","Indiantown Development Company...","Florida","90"
"416","'Jacksonville Beach, Citv of","Florida","93"
"417","•Jacksonville Municipal Electric Plant","Florida","92"
"418","Key West Electric Company, The","Florida","89"
"419","*Kissimmee Utility Department","Florida","93"
"420","*LakeHelen Municipal Plant","Florida","93"
"421","*Lakeland Light & Water Department","Florida","93"
"422","*Lake Worth, City of","Florida","93"
"423","*Leesburg, Municipal Plant, City of","Florida","93"
"424","* Moore Haven Light & Water Department","Florida","93"
"425","•Mount Dora, Town of","Florida","94"
"426","*Newberry, Board of Public Works, City of","Florida","94"
"427","Newport Industries, Inc","Florida","90"
"428","*New Smyrna Beach, City of","Florida","94"
"429","*Ocala— Dept. of Public Service, City of","Florida","94"
"430","*Orlando Utilities Commission","Florida","94"
"431","*Polk City, Town of","Florida","94"
"432","Power & Ice, Inc --","Florida","89"
"433","Putnam Lumber Company","Florida","91"
"434","*Quincy Municipal Electric & Water Plant","Florida","95"
"435","•River Junction, Town of F","Florida","95"
"436","*Saint Cloud Utilities Commission","Florida","95"
"437","Electricity, City of","Florida","95"
"438","*Sebring, City of","Florida","95"
"439","Sheip Lumber Company, J. II","Florida","91"
"440","*Starke Light and Water Plant","Florida","95"
"441","•Sumter Electric Cooperative, Inc","Florida","97"
"442","•Suwannee Valley Electric Cooperative, Inc","Florida","97"
"443","'Tallahassee, City of","Florida","95"
"444","Tampa Electric Company","Florida","89"
"445","*Vero Beach Municipal Power System, City"" of","Florida","96"
"446","*Wauchula Light and Water Plant","Florida","96"
"447","Inc","Florida","97"
"448","*Witliston, City of","Florida","96"
"449","Yankeetown Utilities","Florida","90"
"450","""Clisp County Power Commission","Geoigia","107"
"451","*Acworth Water & Light Commission","Georgia","105"
"452","*Adel Light & Water Department","Georgia","106"
"453","•Albany. City of","Georgia","106"
"454","*Altamaha Electric Membership Corporation, The.","Georgia","113"
"455","*Amicalola Electric Membership Corporation","Georgia","113"
"456","*BarnesviIle, City of","Georgia","106"
"457","Bibb Manufacturing Co","Georgia","104"
"458","*Blakely Water & Light Department","Georgia","106"
"459","*Blue Ridge Electric Association, Inc","Georgia","114"
"460","*Brinson, Water & Light Department, Towa of","Georgia","106"
"461","Brunswick Pulp & Poper Company","Georgia","104"
"462","*Buford, City of","Georgia","106"
"463","*Cairo Light & Water Department","Georgia","106"
"464","*Calhoun, City of","Georgia","106"
"465","Callaway Mills","Georgia","104"
"466","*Camilla Water and Light Dapartment","Georgia","107"
"467","""Canoochee Electric Membership Corporation","Georgia","114"
"468","""Carroll Electric Membership Corporation, Th","Georgia","114"
"469","""Cartersville, City of","Georgia","107"
"470","tion, The","Georgia","114"
"471","*Chattanooga, Electric Power Board of","Georgia","107"
"472","Coastal Public Service Company","Georgia","100"
"473","tion","Georgia","114"
"474","""•College Park Electric Department","Georgia","107"
"475","""Colquitt County Rural Electric Company, The...","Georgia","114"
"476","""Commerce Water and Light Commission","Georgia","107"
"477","""Covington, City of","Georgia","107"
"478","Covington Mills","Georgia","104"
"479","*Crisp Farmers Cooperative Corporation","Georgia","114"
"480","mission","Georgia","108"
"481","*Doerun Water & Light Plant, City of","Georgia","108"
"482","*Douglas, City of","Georgia","108"
"483","tion","Georgia","114"
"484","*Dudley, Town of","Georgia","108"
"485","•East Point, Light and Water Department, City of .","Georgia","108"
"486","*Elberton Water & Light Department","Georgia","108"
"487","*Ellaville Electric & Water Works","Georgia","109"
"488","*Excelsior Electric Membership Corporation","Georgia","115"
"489","Exposition Cotton Mills Co","Georgia","104"
"490","*Fairburn Light & Water Plant","Georgia","109"
"491","*Fitzgerald Water, Light & Bond Commission","Georgia","109"
"492","*Flint Electric Membership Corporation","Georgia","115"
"493","•Forsyth, City of","Georgia","109"
"494","tion","Georgia","115"
"495","*Fort Valley Board of Water & Light Commission..","Georgia","109"
"496","Fulton Bag & Cotton Mills","Georgia","104"
"497","Georgia Marble Co G","Georgia","105"
"498","Georgia Power and Light Company G","Georgia","103"
"499","Georgia Power Company G","Georgia","100"
"500","Goodrich Company, B. F","Georgia","105"
"501","*Grady County Electric Membership Corporation.","Georgia","115"
"502","*Grantville Water and Light Commission","Georgia","109"
"503","*Griffin Light, Water and Sewerage Department.-","Georgia","109"
"504","*Habersham Electric Membership Corporation","Georgia","115"
"505","*Hampton, City of","Georgia","109"
"506","*Hart County Electric Membership Corporation..","Georgia","115"
"507","Hercules Powder Company","Georgia","105"
"508","*Hogansville, City of","Georgia","110"
"509","Howser, R. D","Georgia","103"
"510","""Iron City, Town of","Georgia","110"
"511","*Irwin County Electric Membership Corporation. _","Georgia","115"
"512","*Jackson Electric Membership Corporation","Georgia","115"
"513","Mackson Water & Light Department","Georgia","110"
"514","tion","Georgia","116"
"515","Juliette Milling Co","Georgia","105"
"516","*LaFayette, City of - . ..","Georgia","110"
"517","*La Grange, City of","Georgia","110"
"518","*Lamar Electric Membership Corporation","Georgia","116"
"519","*Lawrenceville, City of","Georgia","110"
"520","The","Georgia","116"
"521","*Mansfield, Town of","Georgia","110"
"522","*Marietta Board of Lights and Water Works","Georgia","110"
"523","tion","Georgia","116"
"524","tion","Georgia","116"
"525","*Monroe Water & Light Commission","Georgia","111"
"526","*Monticello, City of","Georgia","111"
"527","*Moultrie Light & Power Department","Georgia","111"
"528","*Newran Water & Light Commission","Georgia","111"
"529","*Norcross, City of","Georgia","111"
"530","•North Georgia Electric Membership Corporation.","Georgia","116"
"531","*Ocnmlgee Electric Membership Corporation","Georgia","116"
"532","*Oconee Electric Membership Corporation, The","Georgia","116"
"533","tion, The","Georgia","117"
"534","•Oxford Water & Light System","Georgia","111"
"535","•Palmetto Municipal Light Plant","Georgia","111"
"536","Pepperell Manufacturing Company","Georgia","105"
"537","Pepperton Cotton Mills","Georgia","105"
"538","*Plains Municipal Water & Light Plant","Georgia","112"
"539","*Planters Electric Membership Corporation","Georgia","117"
"540","Quitman, City of","Georgia","112"
"541","Rabun Land and Water Company","Georgia","105"
"542","*Rayle Electric Membership Corporation, The","Georgia","117"
"543","*Sandersville Water and Light Commission","Georgia","112"
"544","The","Georgia","117"
"545","Savannah Electric and Power Company","Georgia","103"
"546","*Slash Pine Electric Membership Corporation","Georgia","117"
"547","tion","Georgia","117"
"548","South Carolina Power Company","Georgia","104"
"549","•Sumter Electrical Membership Corporation","Georgia","117"
"550","*Svlvania Light and Water Department","Georgia","112"
"551","'Sylvester, City of","Georgia","112"
"552","'Taylor County Electric Membership Corporation.","Georgia","117"
"553","jhomaston Cotton Mills","Georgia","105"
"554","n\omaston Water & Light Department, City of__","Georgia","113"
"555","Miomasville Water & Light Department, City of..","Georgia","113"
"556","I'hree-Notch Electric Membership Corporation","Georgia","118"
"557","Toccoa Power Company","Georgia","104"
"558","*Tri-County Electric Membership Corporation","Georgia","118"
"559","Trion Co","Georgia","105"
"560","*Troup County Electric Membership Corporation .","Georgia","118"
"561","*Upson County Electric Membership Corporation.","Georgia","118"
"562","*Walton Electric Membership Corporation, The","Georgia","118"
"563","Warwick Electric Co","Georgia","104"
"564","ration","Georgia","118"
"565","* Washington Electric Department","Georgia","113"
"566","*West Point, City of","Georgia","113"
"567","*Whigham, Town of","Georgia","113"
"568","Tuscarawas-Cochocton Electric Cooperative, Inc_ Oh","hio__","631"
"569","*Acequia Mutual Electric Company","Idaho","126"
"570","•Albion Municipal Lighting Department","Idaho","123"
"571","Anaconda Copper Mining Co","Idaho","123"
"572","*Arco Municipal Light Plant","Idaho","123"
"573","Atlanta Power Company","Idaho","119"
"574","Boise Payette Lumber Company","Idaho","123"
"575","partment..","Idaho","123"
"576","Co --","Idaho","123"
"577","*Burley Municipal Distribution System","Idaho","124"
"578","•Central Electric Company","Idaho","126"
"579","*Challis Municipal Power Plant, Village of","Idaho","124"
"580","•Clearwater Valley Light & Power Association, Inc_","Idaho","126"
"581","""Crawford, Mr. Newt","Idaho","126"
"582","*Declo Light and Power Company","Idaho","126"
"583","*Declo Municipal Electric Department","Idaho","124"
"584","Dewey Brothers","Idaho","119"
"585","*Dubois, Village of","Idaho","124"
"586","•East End Mutual Electric Company, Ltd","Idaho","126"
